iter	RMSE
0	83584236.28
1	80849968.4
2	78259246.6
3	75808248.56
4	73526952.58
5	71431658
6	69405700.32
7	67580285.06
8	65886950.17
9	64309780.15
10	62744470.65
11	61353533.17
12	59979199.25
13	58698280.99
14	57575328.13
15	56572332.4
16	55593923.34
17	54640352.59
18	53759021.64
19	52889472.3
20	52163392.51
21	51434259.52
22	50776942.47
23	50176336.03
24	49601085.64
25	49051888.38
26	48605354.76
27	48112149.44
28	47649750.11
29	47260548.02
30	46912508.62
31	46531754.5
32	46224611.95
33	45925203.34
34	45682152.57
35	45481434.83
36	45241920.16
37	44979425.41
38	44740493.23
39	44515191.84
40	44300156.94
41	44120613.58
42	43932170.46
43	43792409.34
44	43646332.81
45	43500064.17
46	43323590.31
47	43174825.85
48	43002131.58
49	42898711.29
50	42768606
51	42637008.03
52	42576176.98
53	42506270.48
54	42456520.54
55	42400093.83
56	42303257.6
57	42195685.63
58	42109231.44
59	42064301.28
60	42034336.73
61	41982170.27
62	41931541.88
63	41856880.14
64	41755548.6
65	41699099.11
66	41611217.07
67	41579759.35
68	41569837.26
69	41500174.19
70	41480563.39
71	41409054.81
72	41378425.88
73	41362205.75
74	41278096.43
75	41227100.6
76	41195757.98
77	41160316.49
78	41054992.15
79	40953105
80	40939561.95
81	40872698.76
82	40839839.9
83	40809380.2
84	40801401.69
85	40790850.58
86	40690346.4
87	40657027.17
88	40635042.28
89	40596797.25
90	40557244.28
91	40542454.63
92	40523689.15
93	40502391.01
94	40498122.86
95	40442494.64
96	40402625.72
97	40397042.63
98	40393207.37
99	40325808.92
100	40323000.5
101	40295598.62
102	40293989.91
103	40238442.42
104	40232010.77
105	40225420.97
106	40223395.41
107	40154561.3
108	40128076.65
109	40037352.14
110	39975455.8
111	39935828.5
112	39932303.98
113	39929491.41
114	39903268.32
115	39902367.23
116	39900798.31
117	39897501.89
118	39894706.13
119	39893642.15
120	39892899.28
121	39892212.05
122	39890053.96
123	39786405.03
124	39740490.62
125	39736564.05
126	39731231.29
127	39730362.85
128	39729967.32
129	39697199.56
130	39696285.19
131	39672293.29
132	39671879.96
133	39669817.52
134	39667940.14
135	39667584.89
136	39664206.64
137	39664073.14
138	39663321.66
139	39586241.74
140	39585693.74
141	39521248.95
142	39520168.43
143	39477135.51
144	39476743.93
145	39476267.97
146	39476120.86
147	39400109.71
148	39399999.16
149	39398535.97
150	39398230.31
151	39378078.07
152	39337232.41
153	39336865.49
154	39336576.73
155	39287484.63
156	39287117.24
157	39234961.6
158	39234617.67
159	39234016.87
160	39175769.68
161	39148029.48
162	39147724.05
163	39114361.54
164	39058166.32
165	39057746.49
166	39057278.54
167	39025477.89
168	39025449.44
169	39025425.37
170	39025154
171	39024900.14
172	38987323.18
173	38955353.62
174	38955173.84
175	38954950.21
176	38954739.74
177	38954733.16
178	38954682.74
179	38877091.94
180	38844189.57
181	38752764.57
182	38752398.73
183	38748100.93
184	38747955.46
185	38747607.2
186	38719884.49
187	38719752.15
188	38683408.8
189	38677217.61
190	38676864.3
191	38676851.05
192	38676669.98
193	38676499.95
194	38604266.19
195	38604111.33
196	38604106.9
197	38557788.01
198	38494976.97
199	38494531.03
200	38494373.5
201	38494224.85
202	38494209.32
203	38493687.93
204	38493570.34
205	38459396.1
206	38459260.64
207	38459187.36
208	38365711.88
209	38362352.56
210	38362336.98
211	38362156.65
212	38362138.84
213	38362011.94
214	38337955.84
215	38283686.21
216	38283677.29
217	38283670.6
218	38257549.44
219	38249440.56
220	38249431.63
221	38249302.12
222	38248770.7
223	38211836.37
224	38171919.77
225	38171913.05
226	38105115.4
227	38105005.57
228	38104671.61
229	38104662.65
230	38048414.99
231	38048401.52
232	38048257.86
233	38048100.74
234	38048067.07
235	38047896.47
236	38047889.74
237	38047885.25
238	38047880.76
239	38047741.59
240	38047570.99
241	38045216.22
242	38009086.25
243	38009077.26
244	38009075.02
245	37993637.38
246	37973391.97
247	37972427.1
248	37972292.15
249	37972161.7
250	37972020
251	37932321.61
252	37932317.1
253	37921456.44
254	37859351.52
255	37834885.53
256	37745720
257	37717815.66
258	37662594.64
259	37662586.7
260	37638546.46
261	37636073.06
262	37594278.67
263	37557362.44
264	37557224.86
265	37556983.81
266	37526497.21
267	37525544.74
268	37492089.56
269	37425415.8
270	37400117.89
271	37343768.44
272	37329954.62
273	37329457.01
274	37325751.6
275	37312717.36
276	37246684.43
277	37246621.37
278	37244720.44
279	37230180.54
280	37227839.46
281	37195541.27
282	37170343.1
283	37145187.61
284	37117874.13
285	37117706.16
286	37117502.53
287	37117352.97
288	37117340.31
289	37110559.91
290	37110043.24
291	37083550.26
292	37032940.55
293	37026521.83
294	36985015.41
295	36929458.33
296	36923544.37
297	36921808.39
298	36899339.73
299	36825307.3
300	36805070.11
301	36798266.98
302	36788782.51
303	36786632.73
304	36786387.79
305	36785203.72
306	36780707.4
307	36780622.65
308	36758158.31
309	36758047.94
310	36756981.46
311	36745119.14
312	36720107.29
313	36701495.74
314	36678455.54
315	36674886.94
316	36650824.52
317	36624071.64
318	36609252.58
319	36578040.29
320	36554007.57
321	36530403.25
322	36530286.36
323	36530123.87
324	36529998.79
325	36529885.4
326	36514621.14
327	36513719.47
328	36481080.51
329	36476778.5
330	36452417.78
331	36411787.41
332	36408006.19
333	36388183.55
334	36370988.38
335	36369055.77
336	36357492.06
337	36357462.7
338	36354964.4
339	36331772.6
340	36323960.34
341	36296543.01
342	36274368.67
343	36273641.14
344	36254926.43
345	36195456.39
346	36151710.73
347	36136781.86
348	36091694.37
349	36064067.3
350	36062577.7
351	36039309.13
352	36039311.5
353	36021480.35
354	36020987.18
355	36019353.53
356	35987370.94
357	35929959.91
358	35904142.33
359	35871053.48
360	35870927.29
361	35870776.1
362	35870659.44
363	35850045.36
364	35849888.12
365	35849721.36
366	35833125.84
367	35820357.93
368	35773858.23
369	35773753.18
370	35751505.42
371	35751403.89
372	35733069.36
373	35710559.48
374	35690360.24
375	35668126.31
376	35644988.41
377	35644902.15
378	35644821.88
379	35631691.69
380	35627375.81
381	35624617.74
382	35624549.41
383	35623958.45
384	35610294.13
385	35609652.57
386	35609589.01
387	35609481.09
388	35567851.8
389	35526642.51
390	35513837.77
391	35491442.72
392	35471574.97
393	35470149.57
394	35416736.5
395	35416707.56
396	35416607.49
397	35415382.44
398	35415048.44
399	35414974.89
400	35414509.46
401	35414439.52
402	35407857.64
403	35407793.72
404	35407702.06
405	35361756.23
406	35348558.34
407	35348209.21
408	35337064.3
409	35336063.69
410	35335989.98
411	35335712.03
412	35333575.35
413	35333512.51
414	35321579.55
415	35306392.81
416	35306335.96
417	35306085.6
418	35305433.67
419	35302103.69
420	35296203.79
421	35289926.58
422	35288326.85
423	35288152.59
424	35288083.61
425	35280392.47
426	35248459
427	35231989.93
428	35213893.07
429	35201270.56
430	35201054.62
431	35196235.82
432	35171767.64
433	35170320.38
434	35162083.69
435	35148723.35
436	35120505.28
437	35109127.54
438	35107826.09
439	35107677.69
440	35107433.21
441	35107014.78
442	35086687.16
443	35068618.82
444	35068459.3
445	35064787.75
446	35064541.75
447	35044785.35
448	35043884.85
449	35002418.58
450	35002234.36
451	34971148.32
452	34970821.07
453	34938508.1
454	34935199.38
455	34934887.68
456	34930485.7
457	34930475.92
458	34921303.46
459	34900337.87
460	34899819.08
461	34898645.64
462	34896291.31
463	34896171.39
464	34895816.51
465	34891556.47
466	34855911.35
467	34841261.92
468	34833019.75
469	34807159
470	34806393.44
471	34802173.99
472	34787967.16
473	34779709.91
474	34779681.67
475	34768705.78
476	34768467.51
477	34768461.37
478	34751235.21
479	34746103.31
480	34708340.34
481	34674756.93
482	34652287.88
483	34650509.6
484	34650385.13
485	34649926.67
486	34649908.19
487	34613438.09
488	34601893.61
489	34601372.81
490	34601344.42
491	34598834.1
492	34588752.7
493	34577491.44
494	34571986.66
495	34569164.15
496	34569064.09
497	34568014.08
498	34551670.55
499	34551619.87
500	34549272.79
501	34548936.6
502	34548620.18
503	34548544.78
504	34548013.29
505	34545355.7
506	34545301.31
507	34545251.86
508	34537396.53
509	34537026.84
510	34522457.32
511	34519547.88
512	34517199.85
513	34517144.18
514	34517103.36
515	34510125.13
516	34509167.37
517	34507395.32
518	34506005.58
519	34494664.08
520	34480905.19
521	34480905.19
522	34480636.45
523	34479705.12
