Name,District
Выхино,Юго-Восточный
Соколиная Гора,Восточный
Партизанская,Восточный
Сокольники,Восточный
Шоссе Энтузиастов,Восточный
Перово,Восточный
Улица Дмитриевского,Восточный
Преображенская площадь,Восточный
Андроновка,Юго-Восточный
Авиамоторная,Юго-Восточный
Первомайская,Восточный
Бульвар Рокоссовского,Восточный
Новокосино,Восточный
Щелковская,Восточный
Локомотив,Восточный
Измайлово,Восточный
Черкизовская,Восточный
Измайловская,Восточный
Кусково,Восточный
Новогиреево,Восточный
Семеновская,Восточный
Лухмановская,Восточный
Белокаменная,Восточный
Электрозаводская,Центральный
Очаково,Западный
Проспект Вернадского,Западный
Юго-Западная,Западный
Пионерская,Западный
Давыдково,Западный
Тропарёво,Западный
Озёрная,Западный
Багратионовская,Западный
Аэропорт Внуково,Западный
Кунцевская,Западный
Студенческая,Западный
Сетунь,Западный
Кутузовская,Западный
Фили,Западный
Аминьевская,Западный
Новопеределкино,Западный
Молодежная,Западный
Переделкино,Западный
Матвеевская,Западный
Раменки,Западный
Филевский парк,Западный
Крылатское,Западный
Рабочий Посёлок,Западный
Кропоткинская,Западный
Киевская,Западный
Мещерская,Западный
Солнцево,Западный
Мичуринский проспект,Западный
Минская,Западный
Боровское шоссе,Западный
Солнечная,Западный
Поклонная,Западный
Ломоносовский проспект,Западный
Парк Победы,Западный
Славянский бульвар,Западный
Зеленоград-Крюково,Зеленоградский
Крёкшино,Новомосковский
Щербинка,Новомосковский
Рассказовка,Новомосковский
Толстопальцево,Новомосковский
Прокшино,Новомосковский
Пыхтино,Новомосковский
Румянцево,Новомосковский
Санино,Новомосковский
Остафьево,Новомосковский
Саларьево,Новомосковский
Ольховая,Новомосковский
Филатов Луг,Новомосковский
Коммунарка,Новомосковский
Кокошкино,Новомосковский
Внуково,Новомосковский
Мичуринец,Новомосковский
Говорово,Новомосковский
Сокол,Северный
Хорошёво,Северный
Аэропорт,Северный
Панфиловская,Северный
Стрешнево,Северный
Яхромская,Северный
Моссельмаш,Северный
Балтийская,Северный
Зорге,Северный
Водный стадион,Северный
ЦСКА,Северный
Лихоборы,Северный
Ховрино,Северный
Беговая,Центральный
Марк,Северный
Хорошёвская,Северный
Савеловская,Северо-Восточный
Петровский парк,Северный
Войковская,Северный
Окружная,Северо-Восточный
Полежаевская,Северный
Беломорская,Северный
Грачёвская,Северный
Новоподрезково,Северный
Верхние Лихоборы,Северный
Коптево,Северный
Речной вокзал,Северный
Гражданская,Северный
Петровско-Разумовская,Северный
Дегунино,Северный
Красный Балтиец,Северный
Дмитровская,Северный
Динамо,Северный
Молжаниново,Северный
Селигерская,Северный
Тестовская,Центральный
Бескудниково,Северный
Тимирязевская,Северный
Бибирево,Северо-Восточный
Выставочный центр,Северо-Восточный
Алексеевская,Северо-Восточный
Ботанический сад,Северо-Восточный
Физтех,Северо-Восточный
Свиблово,Северо-Восточный
ВДНХ,Северо-Восточный
Улица Академика Королёва,Северо-Восточный
Телецентр,Северо-Восточный
Улица Милашенкова,Северо-Восточный
Лианозово,Северо-Восточный
Медведково,Северо-Восточный
Улица Сергея Эйзенштейна,Северо-Восточный
Владыкино,Северо-Восточный
Отрадное,Северо-Восточный
Марьина Роща,Северо-Восточный
Марьина роща,Северо-Восточный
Бутырская,Северо-Восточный
Бабушкинская,Северо-Восточный
Ростокино,Северо-Восточный
Останкино,Северо-Восточный
Фонвизинская,Северо-Восточный
Алтуфьево,Северо-Восточный
Октябрьское поле,Северо-Западный
Планерная,Северо-Западный
Мнёвники,Северо-Западный
Строгино,Северо-Западный
Народное Ополчение,Северо-Западный
Терехово,Северо-Западный
Митино,Северо-Западный
Пятницкое шоссе,Северо-Западный
Пенягино,Северо-Западный
Трикотажная,Северо-Западный
Волоколамская,Северо-Западный
Щукинская,Северо-Западный
Спартак,Северо-Западный
Сходненская,Северо-Западный
Тушинская,Северо-Западный
Театральная,Центральный
Площадь Ильича,Центральный
Лужники,Центральный
Белорусская,Центральный
Чистые пруды,Центральный
Сретенский бульвар,Центральный
Новокузнецкая,Центральный
Тверская,Центральный
Деловой центр,Центральный
Площадь Революции,Центральный
Пролетарская,Центральный
Воробьевы горы,Центральный
Сухаревская,Центральный
Выставочная,Центральный
Рижская,Центральный
Баррикадная,Центральный
Боровицкая,Центральный
Китай-город,Центральный
Курская,Центральный
Спортивная,Центральный
Международная,Центральный
Серп и Молот,Центральный
Александровский сад,Центральный
Красносельская,Центральный
Павелецкая,Центральный
Проспект Мира,Центральный
Красные ворота,Центральный
Добрынинская,Центральный
Трубная,Центральный
Смоленская,Центральный
Краснопресненская,Центральный
Крестьянская застава,Центральный
Парк Культуры,Центральный
Римская,Центральный
Бауманская,Центральный
Охотный ряд,Центральный
Тургеневская,Центральный
Фрунзенская,Центральный
Улица 1905 года,Центральный
Менделеевская,Центральный
Кузнецкий мост,Центральный
Арбатская,Центральный
Пушкинская,Центральный
Площадь трёх вокзалов,Центральный
Третьяковская,Центральный
Цветной бульвар,Центральный
Серпуховская,Центральный
Чеховская,Центральный
Библиотека имени Ленина,Центральный
Чкаловская,Центральный
Новослободская,Центральный
Комсомольская,Центральный
