Name Time
Опалиха 59
Павшино 52
Мякинино 41
Строгино 37
Нахабино 65
Красногорская 55
Тушинская 34
Аникеевка 61
Волоколамская 44
Пенягино 49
Митино 46
Пятницкое шоссе 48
Чеховская 7
Арбатская 11
Фили 29
Белорусская 10
Кропоткинская 9
Спортивная 16
Алексеевская 22
Ростокино 40
Китай-город 11
ВДНХ 24
Динамо 10
Филатов Луг 41
Раменки 31
Минская 27
Аминьевская 38
Давыдково 39
Фрунзенская 14
Улица 1905 года 12
Кунцевская 27
Шелепиха 30
Молодёжная 27
Беговая 19
Бауманская 12
Славянский бульвар 23
Новокузнецкая 4
Парк Культуры 14
Смоленская 13
Пушкинская 6
Комсомольская 16
Серпуховская 15
Трубная 14
Народное Ополчение 27
Киевская 16
Технопарк 13
Преображенская площадь 21
Павелецкая 8
Красные ворота 11
Тверская 3
Петровский Парк 16
Аэропорт 13
Площадь Ильича 14
Краснопресненская 13
Курская 13
Третьяковская 7
Охотный ряд 5
Деловой центр 30
Полянка 13
Волгоградский проспект 19
Выставочная 24
Тестовская 30
Сходненская 32
Прокшино 45
Окружная 30
Рабочий посёлок 37
Селигерская 32
Ломоносовский проспект 28
Саларьево 37
Бибирево 30
Печатники 33
Новогиреево 32
Бульвар Рокоссовского 32
Филёвский парк 32
Проспект Мира 16
Рязанский проспект 29
Профсоюзная 21
Ботанический сад 31
Панфиловская 33
Беломорская 26
Цветной бульвар 10
Парк Победы 18
Багратионовская 30
Нагатинский Затон 31
Крылатское 30
Щукинская 26
ЦСКА 22
Библиотека и Ленина 8
Марьина Роща 24
Баррикадная 10
Боровицкая 11
Добрынинская 13
Маяковская 5
Новослободская 13
Чистые пруды 10
Таганская 13
Шаболовская 13
Балтийская 32
Мнёвники 31
Кутузовская 27
Тульская 18
Хорошёво 38
Тургеневская 13
Новаторская 34
ЗИЛ 27
Международная 26
Менделеевская 13
Автозаводская 15
Коммунарка 51
Университет 22
Кантемировская 23
Полежаевская 17
Театральная 0
Проспект Вернадского 27
Калужская 25
Академическая 19
Александровский сад 11
Октябрьское поле 20
Коломенская 16
Бульвар Дмитрия Донского 45
Спартак 26
Сокол 15
Матвеевская 38
Стрешнево 34
Речной вокзал 24
Водный стадион 21
Нагорная 24
Кузнецкий мост 9
Войковская 18
Новые Черёмушки 23
Сретенский бульвар 14
Дмитровская 21
Ленинский проспект 16
Пролетарская 16
Стахановская 42
Аэропорт Внуково 58
Выставочный центр 29
Свиблово 30
Ясенево 35
Тимирязевская 21
Щёлковская 27
Солнцево 43
Зябликово 36
Новопеределкино 57
Карамышевская 39
Рижская 25
Угрешская 28
Локомотив 31
Пражская 37
Рассказовка 50
Гражданская 33
Подольск 67
Перерва 45
Сокольники 20
Царицыно 29
Бунинская аллея 59
Улица Старокачаловская 48
Черкизовская 25
Ольховая 49
Калитники 31
Курьяново 45
Бульвар Адмирала Ушакова 55
Первомайская 25
Хорошёвская 20
Юго-Западная 27
Ховрино 33
Физтех 40
Бескудниково 42
Москворечье 43
Волжская 31
Электрозаводская 18
Говорово 40
Медведково 35
Савёловская 20
Мичуринский проспект 34
Владыкино 27
Тропарёво 31
Чкаловская 13
Красный Балтиец 36
Зюзино 32
Сухаревская 15
Окская 47
Красносельская 15
Нижегородская 35
Андроновка 35
Семёновская 16
Зеленоград — Крюково 75
Озёрная 37
Бутырская 23
Некрасовка 51
Коптево 39
Римская 17
Лихоборы 36
Кузьминки 26
Улица Скобелевская 54
Выхино 35
Нахимовский проспект 27
Бутово 53
Авиамоторная 22
Южная 34
Силикатная 63
Внуково 58
Трикотажная 43
Тёплый Стан 32
Лесопарковая 46
Братиславская 37
Шоссе Энтузиастов 25
Улица Горчакова 57
Москва-Товарная 28
Алтуфьево 33
Новокосино 29
Новохохловская 32
Улица Академика Янгеля 39
Чертановская 31
Коньково 30
Красногвардейская 33
Орехово 28
Пыхтино 54
Остафьево 60
Бабушкинская 33
Юго-Восточная 46
Люблино 37
Новодачная 52
Алма-Атинская 38
Планерная 35
Зорге 36
Верхние Лихоборы 30
Фонвизинская 26
Крымская 28
Красный Строитель 47
Севастопольская 29
Лефортово 28
Площадь Гагарина 21
Санино 73
Каховская 30
Вешняки 42
Текстильщики 26
Марксистская 11
Улица Академика Королёва 40
Варшавская 27
Студенческая 22
Достоевская 17
Октябрьская 12
Лужники 24
Площадь Революции 5
Лианозово 39
Воробьёвы горы 18
Очаково 43
Воронцовская 29
Терехово 33
Нагатинская 22
Кожуховская 24
Щербинка 57
Дегунино 38
Депо 43
Новоподрезково 57
Яхромская 34
Румянцево 34
Дубровка 24
Хлебниково 60
Соколиная гора 34
Верхние котлы 30
Отрадное 27
Сетунь 39
Лухмановская 48
Покровское 44
Бунинская Аллея 59
Щелковская 27
Каширская 20
Хорошево 31
Домодедовская 31
Молодежная 27
Марьино 39
Улица Дмитриевского 46
Перово 25
Шипиловская 39
Тропарево 31
Белокаменная 40
Кленовый бульвар 28
Беляево 28
Савеловская 18
Новые Черемушки 23
Борисово 41
Рабочий Посёлок 37
Боровское шоссе 46
Жулебино 40
Аннино 42
Измайловская 22
Марьина Роща (Шереметьевская) 26
Верхние Котлы 30
Лермонтовский проспект 37
Немчиновка 42
Теплый Стан 32
Варшавская (Коломенское) 27
Пионерская 31
Новоясеневская 37
Филевский парк 32
Соколиная Гора 34
Воробьевы горы 18
Шоссе энтузиастов 25
Измайлово 29
Парк культуры 14
Битцевский Парк 40
Партизанская 19
Петровский парк 16
Семеновская 16
Крестьянская застава 20
Марк 48
Косино 46
Долгопрудная 55
Петровско-Разумовская 28
Лубянка 8
Библиотека им. Ленина 8
Терехово (Мнёвники) 33
Сколково 45
Битца 49
Котельники 42
